sensor_type,date,recorded
ms_p2:sensor:, 2/8/2016 1:08:33 AM,0
ms_p2:sensor:, 2/8/2016 1:09:10 AM,255
ms_p2:sensor:, 2/8/2016 1:09:12 AM,0
ms_p2:sensor:, 2/10/2016 1:09:20 AM,255
ms_p2:sensor:, 2/10/2016 1:09:22 AM,0
ms_p2:sensor:, 2/10/2016 1:09:51 AM,255
ms_p2:sensor:, 2/10/2016 1:09:53 AM,0
ms_p2:sensor:, 2/10/2016 1:11:05 AM,255
ms_p2:sensor:, 2/10/2016 1:11:07 AM,0
ms_p2:sensor:, 2/10/2016 1:11:19 AM,255
ms_p2:sensor:, 2/10/2016 1:11:21 AM,0
ms_p2:sensor:, 2/10/2016 1:11:33 AM,255
ms_p2:sensor:, 2/10/2016 1:11:34 AM,0
ms_p2:sensor:, 2/10/2016 1:11:47 AM,255
ms_p2:sensor:, 2/10/2016 1:11:49 AM,0
ms_p2:sensor:, 2/10/2016 1:12:01 AM,255
ms_p2:sensor:, 2/10/2016 1:12:03 AM,0
ms_p2:sensor:, 2/11/2016 3:21:29 PM,255
ms_p2:sensor:, 2/11/2016 3:21:33 PM,0
ms_p2:sensor:, 2/11/2016 3:21:51 PM,255
ms_p2:sensor:, 2/11/2016 3:21:53 PM,0
ms_p2:sensor:, 2/11/2016 3:22:20 PM,255
ms_p2:sensor:, 2/11/2016 3:22:22 PM,0
ms_p2:sensor:, 2/11/2016 3:22:35 PM,255
ms_p2:sensor:, 2/11/2016 3:22:37 PM,0
ms_p2:sensor:, 2/11/2016 3:25:01 PM,255
ms_p2:sensor:, 2/11/2016 3:25:03 PM,0
ms_p2:sensor:, 2/11/2016 3:25:54 PM,255
ms_p2:sensor:, 2/11/2016 3:25:56 PM,0
ms_p2:sensor:, 2/11/2016 3:26:08 PM,255
ms_p2:sensor:, 2/11/2016 3:26:10 PM,0
ms_p2:sensor:, 2/11/2016 3:26:22 PM,255
ms_p2:sensor:, 2/11/2016 3:26:24 PM,0
ms_p2:sensor:, 2/11/2016 3:26:36 PM,255
ms_p2:sensor:, 2/11/2016 3:26:38 PM,0
ms_p2:sensor:, 2/11/2016 3:26:50 PM,255
ms_p2:sensor:, 2/11/2016 3:26:52 PM,0
ms_p2:sensor:, 2/11/2016 3:27:04 PM,255
ms_p2:sensor:, 2/11/2016 3:27:06 PM,0
ms_p2:sensor:, 2/13/2016 11:00:10 AM,255
ms_p2:sensor:, 2/13/2016 11:00:12 AM,0
ms_p2:sensor:, 2/13/2016 7:23:53 PM,255
ms_p2:sensor:, 2/13/2016 7:23:55 PM,0
ms_p2:sensor:, 2/13/2016 7:27:20 PM,255
ms_p2:sensor:, 2/13/2016 7:27:22 PM,0
ms_p2:sensor:, 2/13/2016 8:46:22 PM,255
ms_p2:sensor:, 2/13/2016 8:46:24 PM,0
ms_p2:sensor:, 2/13/2016 11:10:05 PM,255
ms_p2:sensor:, 2/13/2016 11:10:08 PM,0
ms_p2:sensor:, 2/14/2016 8:30:14 AM,255
ms_p2:sensor:, 2/14/2016 8:30:17 AM,0
ms_p2:sensor:, 2/14/2016 8:41:58 AM,255
ms_p2:sensor:, 2/14/2016 8:41:58 AM,0
ms_p2:sensor:, 2/14/2016 8:42:05 AM,255
ms_p2:sensor:, 2/14/2016 8:42:07 AM,0
ms_p2:sensor:, 2/14/2016 8:42:44 AM,255
ms_p2:sensor:, 2/14/2016 8:42:44 AM,0
ms_p2:sensor:, 2/14/2016 8:43:01 AM,255
ms_p2:sensor:, 2/14/2016 8:43:04 AM,0
ms_p2:sensor:, 2/14/2016 1:01:45 PM,255
ms_p2:sensor:, 2/14/2016 1:01:47 PM,0
ms_p2:sensor:, 2/14/2016 1:02:43 PM,255
ms_p2:sensor:, 2/14/2016 1:02:45 PM,0
ms_p2:sensor:, 2/14/2016 1:12:13 PM,255
ms_p2:sensor:, 2/14/2016 1:12:15 PM,0
ms_p2:sensor:, 2/14/2016 1:12:28 PM,255
ms_p2:sensor:, 2/14/2016 1:12:30 PM,0
ms_p2:sensor:, 2/14/2016 1:13:05 PM,255
ms_p2:sensor:, 2/14/2016 1:13:07 PM,0
ms_p2:sensor:, 2/14/2016 1:13:26 PM,255
ms_p2:sensor:, 2/14/2016 1:13:28 PM,0
ms_p2:sensor:, 2/14/2016 1:13:47 PM,255
ms_p2:sensor:, 2/14/2016 1:13:49 PM,0
ms_p2:sensor:, 2/14/2016 1:52:42 PM,255
ms_p2:sensor:, 2/14/2016 1:52:44 PM,0
ms_p2:sensor:, 2/14/2016 1:52:56 PM,255
ms_p2:sensor:, 2/14/2016 1:52:58 PM,0
ms_p2:sensor:, 2/14/2016 4:47:46 PM,255
ms_p2:sensor:, 2/14/2016 4:47:48 PM,0
ms_p2:sensor:, 2/14/2016 8:23:18 PM,255
ms_p2:sensor:, 2/14/2016 8:23:19 PM,0
ms_p2:sensor:, 2/14/2016 8:23:34 PM,255
ms_p2:sensor:, 2/14/2016 8:23:35 PM,0
ms_p2:sensor:, 2/15/2016 4:45:16 AM,255
ms_p2:sensor:, 2/15/2016 4:45:19 AM,0
ms_p2:sensor:, 2/15/2016 7:14:25 AM,255
ms_p2:sensor:, 2/15/2016 7:14:27 AM,0
ms_p2:sensor:, 2/15/2016 7:14:42 AM,255
ms_p2:sensor:, 2/15/2016 7:14:44 AM,0
ms_p2:sensor:, 2/15/2016 8:51:45 AM,255
ms_p2:sensor:, 2/15/2016 8:51:47 AM,0
ms_p2:sensor:, 2/15/2016 8:52:41 AM,255
ms_p2:sensor:, 2/15/2016 8:52:44 AM,0
ms_p2:sensor:, 2/15/2016 9:12:33 AM,255
ms_p2:sensor:, 2/15/2016 9:12:34 AM,0
ms_p2:sensor:, 2/15/2016 10:12:50 AM,255
ms_p2:sensor:, 2/15/2016 10:12:51 AM,0
ms_p2:sensor:, 2/15/2016 11:43:46 AM,0
ms_p2:sensor:, 2/15/2016 11:43:46 AM,255
ms_p2:sensor:, 2/15/2016 11:45:56 AM,255
ms_p2:sensor:, 2/15/2016 11:45:59 AM,0
ms_p2:sensor:, 2/15/2016 11:46:11 AM,255
ms_p2:sensor:, 2/15/2016 11:46:13 AM,0
ms_p2:sensor:, 2/15/2016 11:46:25 AM,255
